CC.AA.	Grupos especiales	Periodo	Total
Nacional	Alimentos con elaboración, bebidas y tabaco	2006	169,989
Nacional	Alimentos con elaboración, bebidas y tabaco	2005	171,747
Nacional	Alimentos con elaboración, bebidas y tabaco	2004	171,747
Nacional	Alimentos con elaboración, bebidas y tabaco	2003	168,401
Nacional	Alimentos con elaboración, bebidas y tabaco	2002	167,727
Nacional	Alimentos sin elaboración	2006	83,532
Nacional	Alimentos sin elaboración	2005	85,996
Nacional	Alimentos sin elaboración	2004	85,996
Nacional	Alimentos sin elaboración	2003	82,730
Nacional	Alimentos sin elaboración	2002	83,073
Nacional	Bienes industriales	2006	388,458
Nacional	Bienes industriales	2005	391,721
Nacional	Bienes industriales	2004	391,721
Nacional	Bienes industriales	2003	404,400
Nacional	Bienes industriales	2002	406,905
Nacional	Servicios sin alquiler de  vivienda	2006	337,740
Nacional	Servicios sin alquiler de  vivienda	2005	330,527
Nacional	Servicios sin alquiler de  vivienda	2004	330,527
Nacional	Servicios sin alquiler de  vivienda	2003	325,873
Nacional	Servicios sin alquiler de  vivienda	2002	322,939
Nacional	Carburantes y combustibles	2006	69,515
Nacional	Carburantes y combustibles	2005	66,805
Nacional	Carburantes y combustibles	2004	66,805
Nacional	Carburantes y combustibles	2003	68,261
Nacional	Carburantes y combustibles	2002	68,456
Nacional	Bienes industriales duraderos	2006	114,735
Nacional	Bienes industriales duraderos	2005	113,245
Nacional	Bienes industriales duraderos	2004	113,245
Nacional	Bienes industriales duraderos	2003	124,324
Nacional	Bienes industriales duraderos	2002	126,955
Nacional	Productos energeticos	2006	93,393
Nacional	Productos energeticos	2005	91,190
Nacional	Productos energeticos	2004	91,190
Nacional	Productos energeticos	2003	92,324
Nacional	Productos energeticos	2002	93,882
Nacional	General sin alimentos, bebidas y tabaco	2006	746,479
Nacional	General sin alimentos, bebidas y tabaco	2005	742,257
Nacional	General sin alimentos, bebidas y tabaco	2004	742,257
Nacional	General sin alimentos, bebidas y tabaco	2003	748,869
Nacional	General sin alimentos, bebidas y tabaco	2002	749,200
Nacional	General sin alquiler de vivienda	2006	979,719
Nacional	General sin alquiler de vivienda	2005	979,991
Nacional	General sin alquiler de vivienda	2004	979,991
Nacional	General sin alquiler de vivienda	2003	981,404
Nacional	General sin alquiler de vivienda	2002	980,644
Nacional	General sin carburantes ni combustibles	2006	930,485
Nacional	General sin carburantes ni combustibles	2005	933,195
Nacional	General sin carburantes ni combustibles	2004	933,195
Nacional	General sin carburantes ni combustibles	2003	931,739
Nacional	General sin carburantes ni combustibles	2002	931,544
Nacional	General sin productos energeticos	2006	906,607
Nacional	General sin productos energeticos	2005	908,810
Nacional	General sin productos energeticos	2004	908,810
Nacional	General sin productos energeticos	2003	907,676
Nacional	General sin productos energeticos	2002	906,118
Nacional	General sin alimentos no elaborados ni productos energeticos	2006	823,075
Nacional	General sin alimentos no elaborados ni productos energeticos	2005	822,814
Nacional	General sin alimentos no elaborados ni productos energeticos	2004	822,814
Nacional	General sin alimentos no elaborados ni productos energeticos	2003	824,946
Nacional	General sin alimentos no elaborados ni productos energeticos	2002	823,045
Nacional	General sin servicios (incluye alquiler de vivienda)	2006	662,260
Nacional	General sin servicios (incluye alquiler de vivienda)	2005	669,473
