Índice de Precios de Consumo (IPC)
Indice de Precios de Consumo. Ponderaciones
Comunidades Autónomas por grupos especiales
Unidades: ?

,2006,2005,2004,2003,2002,
Nacional,
    Alimentos con elaboración, bebidas y tabaco,169,989,171,747,171,747,168,401,167,727,
    Alimentos sin elaboración,83,532,85,996,85,996,82,730,83,073,
    Bienes industriales,388,458,391,721,391,721,404,400,406,905,
    Servicios sin alquiler de  vivienda,337,740,330,527,330,527,325,873,322,939,
    Carburantes y combustibles,69,515,66,805,66,805,68,261,68,456,
    Bienes industriales duraderos,114,735,113,245,113,245,124,324,126,955,
    Productos energeticos,93,393,91,190,91,190,92,324,93,882,
    General sin alimentos, bebidas y tabaco,746,479,742,257,742,257,748,869,749,200,
    General sin alquiler de vivienda,979,719,979,991,979,991,981,404,980,644,
    General sin carburantes ni combustibles,930,485,933,195,933,195,931,739,931,544,
    General sin productos energeticos,906,607,908,810,908,810,907,676,906,118,
    General sin alimentos no elaborados ni productos energeticos,823,075,822,814,822,814,824,946,823,045,
    General sin servicios (incluye alquiler de vivienda),662,260,669,473,669,473,674,127,677,061,
    General sin servicios ni alquiler de vivienda,641,979,649,464,649,464,655,531,657,705,
    General sin alimentos,bebidas,tabaco ni alquiler de vivienda,726,198,722,248,722,248,730,273,729,844,
    General sin alimentos,bebidas,tabaco,carburante ni combustible,676,964,675,451,675,451,680,608,680,744,
    General sin alimentos,bebidas,tabaco ni productos energéticos,653,086,651,066,651,066,656,545,655,318,
    General sin alimentos,bebidas,tabaco ni servicios (Inc.alquier de viv.),408,739,411,730,411,730,422,996,426,261,
    General sin alimentos,bebidas,tabaco,servicios ni alquiler de vivienda,388,458,391,721,391,721,404,400,406,905,
    Bienes industriales no duraderos,273,723,278,476,278,476,280,077,279,950,
    General sin tabaco,977,894,977,161,977,161,977,080,976,829,
    Alimentos y bebidas,231,415,234,904,234,904,228,211,227,630,
    Alimentos elaborados,127,272,127,687,127,687,124,283,123,379,
    Bienes industriales sin energia,364,580,367,336,367,336,380,337,381,480,
    Servicios (con alquiler de vivienda),358,021,350,536,350,536,344,469,342,295,
    Alimentos, bebida y tabaco,253,521,257,743,257,743,251,131,250,800,
    Alimentos sin elaboración y productos energéticos,176,925,177,186,177,186,175,054,176,955,
    Bienes industriales sin productos energéticos,295,065,300,531,300,531,312,077,313,024,
Andalucía,
    Alimentos con elaboración, bebidas y tabaco,196,188,197,768,197,768,.,.,
    Alimentos sin elaboración,85,381,87,771,87,771,.,.,
    Bienes industriales,402,456,405,618,405,618,.,.,
    Servicios sin alquiler de  vivienda,301,601,294,680,294,680,.,.,
    Carburantes y combustibles,66,517,63,809,63,809,.,.,
    Bienes industriales duraderos,116,006,114,148,114,148,.,.,
    Productos energeticos,92,757,90,570,90,570,.,.,
    General sin alimentos, bebidas y tabaco,718,432,714,462,714,462,.,.,
    General sin alquiler de vivienda,985,625,985,837,985,837,.,.,
    General sin carburantes ni combustibles,933,483,936,191,936,191,.,.,
    General sin productos energeticos,907,243,909,430,909,430,.,.,
    General sin alimentos no elaborados ni productos energeticos,821,862,821,660,821,660,.,.,
    General sin servicios (incluye alquiler de vivienda),698,399,705,320,705,320,.,.,
    General sin servicios ni alquiler de vivienda,684,024,691,156,691,156,.,.,
    General sin alimentos,bebidas,tabaco ni alquiler de vivienda,704,057,700,298,700,298,.,.,
    General sin alimentos,bebidas,tabaco,carburante ni combustible,651,914,650,653,650,653,.,.,
    General sin alimentos,bebidas,tabaco ni productos energéticos,625,674,623,892,623,892,.,.,
    General sin alimentos,bebidas,tabaco ni servicios (Inc.alquier de viv.),416,831,419,781,419,781,.,.,
    General sin alimentos,bebidas,tabaco,servicios ni alquiler de vivienda,402,456,405,618,405,618,.,.,
    Bienes industriales no duraderos,286,450,291,470,291,470,.,.,
    General sin tabaco,971,642,970,742,970,742,.,.,
    Alimentos y bebidas,253,210,256,280,256,280,.,.,
    Alimentos elaborados,144,706,144,847,144,847,.,.,
    Bienes industriales sin energia,376,216,378,857,378,857,.,.,
    Servicios (con alquiler de vivienda),315,976,308,844,308,844,.,.,
    Alimentos, bebida y tabaco,281,568,285,538,285,538,.,.,
    Alimentos sin elaboración y productos energéticos,178,138,178,340,178,340,.,.,
    Bienes industriales sin productos energéticos,309,699,315,048,315,048,.,.,
Aragón,
    Alimentos con elaboración, bebidas y tabaco,170,950,172,475,172,475,.,.,
    Alimentos sin elaboración,81,281,83,409,83,409,.,.,
    Bienes industriales,399,894,404,072,404,072,.,.,
    Servicios sin alquiler de  vivienda,331,128,323,538,323,538,.,.,
    Carburantes y combustibles,66,811,63,959,63,959,.,.,
    Bienes industriales duraderos,112,044,110,758,110,758,.,.,
    Productos energeticos,93,790,91,482,91,482,.,.,
    General sin alimentos, bebidas y tabaco,747,770,744,116,744,116,.,.,
    General sin alquiler de vivienda,983,252,983,494,983,494,.,.,
    General sin carburantes ni combustibles,933,189,936,041,936,041,.,.,
    General sin productos energeticos,906,210,908,518,908,518,.,.,
    General sin alimentos no elaborados ni productos energeticos,824,930,825,108,825,108,.,.,
    General sin servicios (incluye alquiler de vivienda),668,872,676,462,676,462,.,.,
    General sin servicios ni alquiler de vivienda,652,124,659,956,659,956,.,.,
    General sin alimentos,bebidas,tabaco ni alquiler de vivienda,731,022,727,610,727,610,.,.,
    General sin alimentos,bebidas,tabaco,carburante ni combustible,680,958,680,157,680,157,.,.,
    General sin alimentos,bebidas,tabaco ni productos energéticos,653,980,652,634,652,634,.,.,
    General sin alimentos,bebidas,tabaco ni servicios (Inc.alquier de viv.),416,641,420,578,420,578,.,.,
    General sin alimentos,bebidas,tabaco,servicios ni alquiler de vivienda,399,894,404,072,404,072,.,.,
    Bienes industriales no duraderos,287,850,293,314,293,314,.,.,
    General sin tabaco,977,702,976,986,976,986,.,.,
    Alimentos y bebidas,229,932,232,870,232,870,.,.,
    Alimentos elaborados,128,748,128,936,128,936,.,.,
    Bienes industriales sin energia,372,915,376,549,376,549,.,.,
    Servicios (con alquiler de vivienda),347,876,340,044,340,044,.,.,
    Alimentos, bebida y tabaco,252,230,255,884,255,884,.,.,
    Alimentos sin elaboración y productos energéticos,175,070,174,892,174,892,.,.,
    Bienes industriales sin productos energéticos,306,104,312,590,312,590,.,.,
Principado De Asturias,
    Alimentos con elaboración, bebidas y tabaco,167,218,169,237,169,237,.,.,
    Alimentos sin elaboración,81,540,83,750,83,750,.,.,
    Bienes industriales,397,431,400,819,400,819,.,.,
    Servicios sin alquiler de  vivienda,338,296,330,890,330,890,.,.,
    Carburantes y combustibles,72,277,69,387,69,387,.,.,
    Bienes industriales duraderos,119,937,118,564,118,564,.,.,
    Productos energeticos,95,935,93,542,93,542,.,.,
    General sin alimentos, bebidas y tabaco,751,242,747,013,747,013,.,.,
    General sin alquiler de vivienda,984,485,984,696,984,696,.,.,
    General sin carburantes ni combustibles,927,723,930,613,930,613,.,.,
    General sin productos energeticos,904,065,906,458,906,458,.,.,
    General sin alimentos no elaborados ni productos energeticos,822,525,822,708,822,708,.,.,
    General sin servicios (incluye alquiler de vivienda),661,704,669,110,669,110,.,.,
    General sin servicios ni alquiler de vivienda,646,189,653,806,653,806,.,.,
    General sin alimentos,bebidas,tabaco ni alquiler de vivienda,735,727,731,710,731,710,.,.,
    General sin alimentos,bebidas,tabaco,carburante ni combustible,678,965,677,626,677,626,.,.,
    General sin alimentos,bebidas,tabaco ni productos energéticos,655,307,653,471,653,471,.,.,
    General sin alimentos,bebidas,tabaco ni servicios (Inc.alquier de viv.),412,946,416,123,416,123,.,.,
    General sin alimentos,bebidas,tabaco,servicios ni alquiler de vivienda,397,431,400,819,400,819,.,.,
    Bienes industriales no duraderos,277,494,282,255,282,255,.,.,
    General sin tabaco,979,866,979,203,979,203,.,.,
    Alimentos y bebidas,228,624,232,189,232,189,.,.,
    Alimentos elaborados,129,831,130,480,130,480,.,.,
    Bienes industriales sin energia,373,773,376,664,376,664,.,.,
    Servicios (con alquiler de vivienda),353,811,346,194,346,194,.,.,
    Alimentos, bebida y tabaco,248,758,252,987,252,987,.,.,
    Alimentos sin elaboración y productos energéticos,177,475,177,292,177,292,.,.,
    Bienes industriales sin productos energéticos,301,497,307,277,307,277,.,.,
Illes Balears,
    Alimentos con elaboración, bebidas y tabaco,162,501,164,821,164,821,.,.,
    Alimentos sin elaboración,70,982,73,292,73,292,.,.,
    Bienes industriales,389,779,393,319,393,319,.,.,
    Servicios sin alquiler de  vivienda,349,479,341,589,341,589,.,.,
    Carburantes y combustibles,72,613,69,745,69,745,.,.,
    Bienes industriales duraderos,121,500,120,253,120,253,.,.,
    Productos energeticos,97,351,95,089,95,089,.,.,
    General sin alimentos, bebidas y tabaco,766,517,761,887,761,887,.,.,
    General sin alquiler de vivienda,972,741,973,021,973,021,.,.,
    General sin carburantes ni combustibles,927,387,930,255,930,255,.,.,
    General sin productos energeticos,902,649,904,911,904,911,.,.,
    General sin alimentos no elaborados ni productos energeticos,831,667,831,619,831,619,.,.,
    General sin servicios (incluye alquiler de vivienda),650,521,658,411,658,411,.,.,
    General sin servicios ni alquiler de vivienda,623,263,631,432,631,432,.,.,
    General sin alimentos,bebidas,tabaco ni alquiler de vivienda,739,258,734,908,734,908,.,.,
    General sin alimentos,bebidas,tabaco,carburante ni combustible,693,904,692,143,692,143,.,.,
    General sin alimentos,bebidas,tabaco ni productos energéticos,669,165,666,798,666,798,.,.,
    General sin alimentos,bebidas,tabaco ni servicios (Inc.alquier de viv.),417,038,420,298,420,298,.,.,
    General sin alimentos,bebidas,tabaco,servicios ni alquiler de vivienda,389,779,393,319,393,319,.,.,
    Bienes industriales no duraderos,268,279,273,066,273,066,.,.,
